independent_unit_id	pair_id	direction	method	fold	repeat	strategy	coverage	n_train_available	n_train_selected	n_test	training_positive_precision	macro_f1	balanced_accuracy	accuracy
HER2ST::A	HER2ST_A1_CONTROLLED__reverse	reverse	balanced_ot	0	2	oracle_truth	0.8	183	147	90	1.0	0.22392638036809817	0.8111111111111111	0.8111111111111111
HER2ST::A	HER2ST_A1_CONTROLLED__reverse	reverse	balanced_ot	1	0	max_probability_gate	0.8	194	156	79	0.5384615384615384	0.17421387733887733	0.19773242630385487	0.25316455696202533
HER2ST::A	HER2ST_A1_CONTROLLED__reverse	reverse	balanced_ot	1	0	top2_margin_gate	0.8	194	156	79	0.6987179487179487	0.2069377990430622	0.24716553287981857	0.31645569620253167
HER2ST::A	HER2ST_A1_CONTROLLED__reverse	reverse	balanced_ot	1	0	random_gate	0.8	194	156	79	0.5833333333333334	0.212703774694931	0.2385487528344671	0.3291139240506329
HER2ST::A	HER2ST_A1_CONTROLLED__reverse	reverse	balanced_ot	1	0	oracle_truth	0.8	194	156	79	1.0	0.22875420875420877	0.2743764172335601	0.3670886075949367
HER2ST::A	HER2ST_A1_CONTROLLED__reverse	reverse	balanced_ot	1	1	max_probability_gate	0.8	194	156	79	0.5384615384615384	0.1872597107798784	0.2675736961451247	0.35443037974683544
HER2ST::A	HER2ST_A1_CONTROLLED__reverse	reverse	balanced_ot	1	1	top2_margin_gate	0.8	194	156	79	0.6987179487179487	0.16660692951015532	0.23174603174603173	0.31645569620253167
HER2ST::A	HER2ST_A1_CONTROLLED__reverse	reverse	balanced_ot	1	1	random_gate	0.8	194	156	79	0.5961538461538461	0.2502756122529333	0.3034013605442177	0.3924050632911392
HER2ST::A	HER2ST_A1_CONTROLLED__reverse	reverse	balanced_ot	1	1	oracle_truth	0.8	194	156	79	1.0	0.28531351939108374	0.35963718820861673	0.46835443037974683
HER2ST::A	HER2ST_A1_CONTROLLED__reverse	reverse	balanced_ot	1	2	max_probability_gate	0.8	194	156	79	0.5384615384615384	0.3081065759637188	0.3732426303854875	0.4936708860759494
HER2ST::A	HER2ST_A1_CONTROLLED__reverse	reverse	balanced_ot	1	2	top2_margin_gate	0.8	194	156	79	0.6987179487179487	0.33408309842838935	0.39365079365079364	0.5316455696202531
HER2ST::A	HER2ST_A1_CONTROLLED__reverse	reverse	balanced_ot	1	2	random_gate	0.8	194	156	79	0.5512820512820513	0.2578291989410727	0.39546485260770975	0.5063291139240507
HER2ST::A	HER2ST_A1_CONTROLLED__reverse	reverse	balanced_ot	1	2	oracle_truth	0.8	194	156	79	1.0	0.3653535353535353	0.4498866213151927	0.6075949367088608
HER2ST::A	HER2ST_A1_CONTROLLED__reverse	reverse	balanced_ot	2	0	max_probability_gate	0.8	169	136	104	0.6323529411764706	0.13383458646616542	0.36979166666666663	0.36538461538461536
HER2ST::A	HER2ST_A1_CONTROLLED__reverse	reverse	balanced_ot	2	0	top2_margin_gate	0.8	169	136	104	0.8014705882352942	0.19375993640699524	0.44791666666666663	0.40384615384615385
HER2ST::A	HER2ST_A1_CONTROLLED__reverse	reverse	balanced_ot	2	0	random_gate	0.8	169	136	104	0.6911764705882353	0.13562073418188525	0.33333333333333337	0.40384615384615385
HER2ST::A	HER2ST_A1_CONTROLLED__reverse	reverse	balanced_ot	2	0	oracle_truth	0.8	169	136	104	1.0	0.16626712328767124	0.43229166666666663	0.4807692307692308
